Input	Input Type	MGI Gene/Marker ID	MP ID	Term
CCL2	current symbol	MGI:98259	MP:0003546	decreased alcohol consumption
CCL2	current symbol	MGI:98259	MP:0003691	abnormal microglial cell physiology
CCL2	current symbol	MGI:98259	MP:0003710	abnormal physiological neovascularization
CCL2	current symbol	MGI:98259	MP:0003799	impaired macrophage chemotaxis
CCL2	current symbol	MGI:98259	MP:0003852	skeletal muscle necrosis
CCL2	current symbol	MGI:98259	MP:0003884	decreased macrophage cell number
CCL2	current symbol	MGI:98259	MP:0003921	abnormal heart left ventricle morphology
CCL2	current symbol	MGI:98259	MP:0004502	decreased incidence of tumors by chemical induction
CCL2	current symbol	MGI:98259	MP:0004800	decreased susceptibility to experimental autoimmune encephalomyelitis
CCL2	current symbol	MGI:98259	MP:0004892	increased adiponectin level
CCL2	current symbol	MGI:98259	MP:0004893	decreased adiponectin level
CCL2	current symbol	MGI:98259	MP:0004984	increased osteoclast cell number
CCL2	current symbol	MGI:98259	MP:0005016	decreased lymphocyte cell number
CCL2	current symbol	MGI:98259	MP:0005027	increased susceptibility to parasitic infection
CCL2	current symbol	MGI:98259	MP:0005098	abnormal optic choroid morphology
CCL2	current symbol	MGI:98259	MP:0005164	abnormal response to injury
CCL2	current symbol	MGI:98259	MP:0005201	abnormal retinal pigment epithelium morphology
CCL2	current symbol	MGI:98259	MP:0005239	abnormal Bruch membrane morphology
CCL2	current symbol	MGI:98259	MP:0005292	improved glucose tolerance
CCL2	current symbol	MGI:98259	MP:0005293	impaired glucose tolerance
CCL2	current symbol	MGI:98259	MP:0005331	insulin resistance
CCL2	current symbol	MGI:98259	MP:0005335	abnormal gonadal fat pad morphology
CCL2	current symbol	MGI:98259	MP:0005458	increased percent body fat/body weight
CCL2	current symbol	MGI:98259	MP:0005546	choroidal neovascularization
CCL2	current symbol	MGI:98259	MP:0005559	increased circulating glucose level
CCL2	current symbol	MGI:98259	MP:0005590	increased vasodilation
CCL2	current symbol	MGI:98259	MP:0005602	decreased angiogenesis
CCL2	current symbol	MGI:98259	MP:0005616	decreased susceptibility to type IV hypersensitivity reaction
CCL2	current symbol	MGI:98259	MP:0005658	increased susceptibility to diet-induced obesity
CCL2	current symbol	MGI:98259	MP:0005669	increased circulating leptin level
CCL2	current symbol	MGI:98259	MP:0006187	retinal deposits
CCL2	current symbol	MGI:98259	MP:0006238	abnormal choriocapillaris morphology
CCL2	current symbol	MGI:98259	MP:0006319	abnormal epididymal fat pad morphology
CCL2	current symbol	MGI:98259	MP:0008074	increased CD4-positive, alpha beta T cell number
CCL2	current symbol	MGI:98259	MP:0008127	decreased dendritic cell number
CCL2	current symbol	MGI:98259	MP:0008236	decreased susceptibility to neuronal excitotoxicity
CCL2	current symbol	MGI:98259	MP:0008450	retinal photoreceptor degeneration
CCL2	current symbol	MGI:98259	MP:0008499	increased IgG1 level
CCL2	current symbol	MGI:98259	MP:0008518	retinal outer nuclear layer degeneration
CCL2	current symbol	MGI:98259	MP:0008539	decreased susceptibility to induced colitis
CCL2	current symbol	MGI:98259	MP:0008553	increased circulating tumor necrosis factor level
CCL2	current symbol	MGI:98259	MP:0008567	decreased interferon-gamma secretion
CCL2	current symbol	MGI:98259	MP:0008577	increased circulating interferon-gamma level
CCL2	current symbol	MGI:98259	MP:0008593	increased circulating interleukin-10 level
CCL2	current symbol	MGI:98259	MP:0008658	decreased interleukin-1 beta secretion
CCL2	current symbol	MGI:98259	MP:0008660	increased interleukin-10 secretion
CCL2	current symbol	MGI:98259	MP:0008670	decreased interleukin-12b secretion
CCL2	current symbol	MGI:98259	MP:0008700	decreased interleukin-4 secretion
CCL2	current symbol	MGI:98259	MP:0008703	decreased interleukin-5 secretion
CCL2	current symbol	MGI:98259	MP:0008721	abnormal chemokine level
CCL2	current symbol	MGI:98259	MP:0008722	abnormal chemokine secretion
CCL2	current symbol	MGI:98259	MP:0008842	lipofuscinosis
CCL2	current symbol	MGI:98259	MP:0008874	decreased physiological sensitivity to xenobiotic
CCL2	current symbol	MGI:98259	MP:0008908	increased total fat pad weight
CCL2	current symbol	MGI:98259	MP:0009269	decreased fat cell size
CCL2	current symbol	MGI:98259	MP:0009355	increased liver triglyceride level
CCL2	current symbol	MGI:98259	MP:0009767	decreased sensitivity to xenobiotic induced morbidity/mortality
CCL2	current symbol	MGI:98259	MP:0009787	increased susceptibility to infection induced morbidity/mortality
CCL2	current symbol	MGI:98259	MP:0010740	abnormal dendritic cell chemotaxis
CCL2	current symbol	MGI:98259	MP:0010760	abnormal macrophage chemotaxis
CCL2	current symbol	MGI:98259	MP:0011941	increased fluid intake
CCL2	current symbol	MGI:98259	MP:0013237	abnormal skeletal muscle regeneration
CCL2	human symbol	MGI:108224	
IL2	current symbol	MGI:96548	MP:0000172	abnormal bone marrow cell number
IL2	current symbol	MGI:96548	MP:0000208	decreased hematocrit
IL2	current symbol	MGI:96548	MP:0000488	abnormal intestinal epithelium morphology
IL2	current symbol	MGI:96548	MP:0000491	crypts of Lieberkuhn abscesses
IL2	current symbol	MGI:96548	MP:0000493	rectal prolapse
IL2	current symbol	MGI:96548	MP:0000512	intestinal ulcer
IL2	current symbol	MGI:96548	MP:0000604	amyloidosis
IL2	current symbol	MGI:96548	MP:0000613	abnormal salivary gland morphology
IL2	current symbol	MGI:96548	MP:0000623	decreased salivation
IL2	current symbol	MGI:96548	MP:0000689	abnormal spleen morphology
IL2	current symbol	MGI:96548	MP:0000691	enlarged spleen
IL2	current symbol	MGI:96548	MP:0000693	spleen hyperplasia
IL2	current symbol	MGI:96548	MP:0000702	enlarged lymph nodes
IL2	current symbol	MGI:96548	MP:0000717	abnormal lymphocyte cell number
IL2	current symbol	MGI:96548	MP:0001505	hunched posture
IL2	current symbol	MGI:96548	MP:0001577	anemia
IL2	current symbol	MGI:96548	MP:0001665	chronic diarrhea
IL2	current symbol	MGI:96548	MP:0001828	abnormal T cell activation
IL2	current symbol	MGI:96548	MP:0001829	increased activated T cell number
IL2	current symbol	MGI:96548	MP:0001846	increased inflammatory response
IL2	current symbol	MGI:96548	MP:0001853	heart inflammation
IL2	current symbol	MGI:96548	MP:0001860	liver inflammation
IL2	current symbol	MGI:96548	MP:0001861	lung inflammation
IL2	current symbol	MGI:96548	MP:0001864	vasculitis
IL2	current symbol	MGI:96548	MP:0001869	pancreas inflammation
IL2	current symbol	MGI:96548	MP:0001870	salivary gland inflammation
IL2	current symbol	MGI:96548	MP:0002083	premature death
IL2	current symbol	MGI:96548	MP:0002424	abnormal reticulocyte morphology
IL2	current symbol	MGI:96548	MP:0002425	altered susceptibility to autoimmune disorder
IL2	current symbol	MGI:96548	MP:0002493	increased IgG level
IL2	current symbol	MGI:96548	MP:0002495	increased IgA level
IL2	current symbol	MGI:96548	MP:0002497	increased IgE level
IL2	current symbol	MGI:96548	MP:0002594	low mean erythrocyte cell number
IL2	current symbol	MGI:96548	MP:0002619	abnormal lymphocyte morphology
IL2	current symbol	MGI:96548	MP:0002816	colitis
IL2	current symbol	MGI:96548	MP:0003132	increased pre-B cell number
IL2	current symbol	MGI:96548	MP:0003293	rectal hemorrhage
IL2	current symbol	MGI:96548	MP:0003304	large intestinal inflammation
IL2	current symbol	MGI:96548	MP:0003850	abnormal thymocyte activation
IL2	current symbol	MGI:96548	MP:0003945	abnormal lymphocyte physiology
IL2	current symbol	MGI:96548	MP:0004751	increased length of allograft survival
IL2	current symbol	MGI:96548	MP:0004803	increased susceptibility to autoimmune diabetes
IL2	current symbol	MGI:96548	MP:0004816	abnormal class switch recombination
IL2	current symbol	MGI:96548	MP:0004827	increased susceptibility to autoimmune hemolytic anemia
IL2	current symbol	MGI:96548	MP:0004946	abnormal regulatory T cell physiology
IL2	current symbol	MGI:96548	MP:0004973	increased regulatory T cell number
IL2	current symbol	MGI:96548	MP:0004974	decreased regulatory T cell number
IL2	current symbol	MGI:96548	MP:0005015	increased T cell number
IL2	current symbol	MGI:96548	MP:0005036	diarrhea
IL2	current symbol	MGI:96548	MP:0005042	abnormal level of surface class II molecules
IL2	current symbol	MGI:96548	MP:0005070	impaired natural killer cell mediated cytotoxicity
IL2	current symbol	MGI:96548	MP:0005078	abnormal cytotoxic T cell physiology
IL2	current symbol	MGI:96548	MP:0005079	decreased cytotoxic T cell cytolysis
IL2	current symbol	MGI:96548	MP:0005089	decreased double-negative T cell number
IL2	current symbol	MGI:96548	MP:0005090	increased double-negative T cell number
IL2	current symbol	MGI:96548	MP:0005092	decreased double-positive T cell number
IL2	current symbol	MGI:96548	MP:0005094	abnormal T cell proliferation
IL2	current symbol	MGI:96548	MP:0005095	decreased T cell proliferation
IL2	current symbol	MGI:96548	MP:0005150	cachexia
IL2	current symbol	MGI:96548	MP:0005154	increased B cell proliferation
IL2	current symbol	MGI:96548	MP:0005344	increased circulating bilirubin level
IL2	current symbol	MGI:96548	MP:0005348	increased T cell proliferation
IL2	current symbol	MGI:96548	MP:0005350	increased susceptibility to autoimmune disorder
IL2	current symbol	MGI:96548	MP:0005463	abnormal CD4-positive, alpha-beta T cell physiology
IL2	current symbol	MGI:96548	MP:0005561	increased mean corpuscular hemoglobin
IL2	current symbol	MGI:96548	MP:0005671	abnormal response to transplant
IL2	current symbol	MGI:96548	MP:0008074	increased CD4-positive, alpha beta T cell number
IL2	current symbol	MGI:96548	MP:0008078	increased CD8-positive, alpha-beta T cell number
IL2	current symbol	MGI:96548	MP:0008082	increased single-positive T cell number
IL2	current symbol	MGI:96548	MP:0008088	abnormal T-helper 1 cell differentiation
IL2	current symbol	MGI:96548	MP:0008097	increased plasma cell number
IL2	current symbol	MGI:96548	MP:0008102	lymph node hyperplasia
IL2	current symbol	MGI:96548	MP:0008177	increased germinal center B cell number
IL2	current symbol	MGI:96548	MP:0008186	increased pro-B cell number
IL2	current symbol	MGI:96548	MP:0008349	abnormal gamma-delta intraepithelial T cell morphology
IL2	current symbol	MGI:96548	MP:0008401	abnormal CD8 positive, alpha-beta intraepithelial T cell morphology
IL2	current symbol	MGI:96548	MP:0008466	enlarged mesenteric lymph nodes
IL2	current symbol	MGI:96548	MP:0008476	increased spleen red pulp amount
IL2	current symbol	MGI:96548	MP:0008499	increased IgG1 level
IL2	current symbol	MGI:96548	MP:0008500	increased IgG2a level
IL2	current symbol	MGI:96548	MP:0008501	increased IgG2b level
IL2	current symbol	MGI:96548	MP:0008578	decreased circulating interferon-gamma level
IL2	current symbol	MGI:96548	MP:0008603	decreased circulating interleukin-4 level
IL2	current symbol	MGI:96548	MP:0008609	decreased circulating interleukin-13 level
IL2	current symbol	MGI:96548	MP:0008614	increased circulating interleukin-17 level
IL2	current symbol	MGI:96548	MP:0008615	decreased circulating interleukin-17 level
IL2	current symbol	MGI:96548	MP:0008880	lacrimal gland inflammation
IL2	current symbol	MGI:96548	MP:0009335	decreased splenocyte proliferation
IL2	current symbol	MGI:96548	MP:0009338	increased splenocyte number
IL2	current symbol	MGI:96548	MP:0009517	abnormal salivary gland duct morphology
IL2	current symbol	MGI:96548	MP:0010169	decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number
IL2	current symbol	MGI:96548	MP:0010210	abnormal circulating cytokine level
IL2	current symbol	MGI:96548	MP:0010219	increased T-helper 17 cell number
IL2	current symbol	MGI:96548	MP:0010954	abnormal cellular respiration
IL2	current symbol	MGI:96548	MP:0013795	abnormal colon goblet cell morphology
IL2	current symbol	MGI:96548	MP:0020912	altered susceptibility to Riboviria infection
IFNG	current symbol	MGI:107656	MP:0000218	increased leukocyte cell number
IFNG	current symbol	MGI:107656	MP:0000219	increased neutrophil cell number
IFNG	current symbol	MGI:107656	MP:0000220	increased monocyte cell number
IFNG	current symbol	MGI:107656	MP:0000221	decreased leukocyte cell number
IFNG	current symbol	MGI:107656	MP:0000240	extramedullary hematopoiesis
IFNG	current symbol	MGI:107656	MP:0000245	abnormal erythropoiesis
IFNG	current symbol	MGI:107656	MP:0000266	abnormal heart morphology
IFNG	current symbol	MGI:107656	MP:0000274	enlarged heart
IFNG	current symbol	MGI:107656	MP:0000278	abnormal myocardial fiber morphology
IFNG	current symbol	MGI:107656	MP:0000322	increased granulocyte number
IFNG	current symbol	MGI:107656	MP:0000333	decreased bone marrow cell number
IFNG	current symbol	MGI:107656	MP:0000598	abnormal liver morphology
IFNG	current symbol	MGI:107656	MP:0000689	abnormal spleen morphology
IFNG	current symbol	MGI:107656	MP:0000691	enlarged spleen
IFNG	current symbol	MGI:107656	MP:0000745	tremors
IFNG	current symbol	MGI:107656	MP:0000849	abnormal cerebellum morphology
IFNG	current symbol	MGI:107656	MP:0000854	abnormal cerebellum development
IFNG	current symbol	MGI:107656	MP:0000872	abnormal cerebellum external granule cell layer morphology
IFNG	current symbol	MGI:107656	MP:0001175	abnormal lung morphology
IFNG	current symbol	MGI:107656	MP:0001265	decreased body size
IFNG	current symbol	MGI:107656	MP:0001272	increased metastatic potential
IFNG	current symbol	MGI:107656	MP:0001393	ataxia
IFNG	current symbol	MGI:107656	MP:0001413	abnormal response to new environment
IFNG	current symbol	MGI:107656	MP:0001570	abnormal circulating enzyme level
IFNG	current symbol	MGI:107656	MP:0001577	anemia
IFNG	current symbol	MGI:107656	MP:0001606	impaired hematopoiesis
IFNG	current symbol	MGI:107656	MP:0001654	hepatic necrosis
IFNG	current symbol	MGI:107656	MP:0001656	focal hepatic necrosis
IFNG	current symbol	MGI:107656	MP:0001732	postnatal growth retardation
IFNG	current symbol	MGI:107656	MP:0001793	altered susceptibility to infection
IFNG	current symbol	MGI:107656	MP:0001800	abnormal humoral immune response
IFNG	current symbol	MGI:107656	MP:0001805	decreased IgG level
IFNG	current symbol	MGI:107656	MP:0001806	decreased IgM level
IFNG	current symbol	MGI:107656	MP:0001807	decreased IgA level
IFNG	current symbol	MGI:107656	MP:0001828	abnormal T cell activation
IFNG	current symbol	MGI:107656	MP:0001845	abnormal inflammatory response
IFNG	current symbol	MGI:107656	MP:0001856	myocarditis
IFNG	current symbol	MGI:107656	MP:0001860	liver inflammation
IFNG	current symbol	MGI:107656	MP:0001869	pancreas inflammation
IFNG	current symbol	MGI:107656	MP:0001873	stomach inflammation
IFNG	current symbol	MGI:107656	MP:0001876	decreased inflammatory response
IFNG	current symbol	MGI:107656	MP:0001935	decreased litter size
IFNG	current symbol	MGI:107656	MP:0001942	abnormal lung volume
IFNG	current symbol	MGI:107656	MP:0001952	increased airway responsiveness
IFNG	current symbol	MGI:107656	MP:0001958	emphysema
IFNG	current symbol	MGI:107656	MP:0002024	increased T cell derived lymphoma incidence
IFNG	current symbol	MGI:107656	MP:0002027	increased lung adenocarcinoma incidence
IFNG	current symbol	MGI:107656	MP:0002032	increased sarcoma incidence
IFNG	current symbol	MGI:107656	MP:0002052	decreased tumor incidence
IFNG	current symbol	MGI:107656	MP:0002059	abnormal seminal vesicle morphology
IFNG	current symbol	MGI:107656	MP:0002083	premature death
IFNG	current symbol	MGI:107656	MP:0002144	abnormal B cell differentiation
IFNG	current symbol	MGI:107656	MP:0002169	no abnormal phenotype detected
IFNG	current symbol	MGI:107656	MP:0002335	decreased airway responsiveness
IFNG	current symbol	MGI:107656	MP:0002339	abnormal lymph node morphology
IFNG	current symbol	MGI:107656	MP:0002356	abnormal spleen red pulp morphology
IFNG	current symbol	MGI:107656	MP:0002357	abnormal spleen white pulp morphology
IFNG	current symbol	MGI:107656	MP:0002376	abnormal dendritic cell physiology
IFNG	current symbol	MGI:107656	MP:0002398	abnormal bone marrow cell morphology/development
IFNG	current symbol	MGI:107656	MP:0002412	increased susceptibility to bacterial infection
IFNG	current symbol	MGI:107656	MP:0002416	abnormal proerythroblast morphology
IFNG	current symbol	MGI:107656	MP:0002420	abnormal adaptive immunity
IFNG	current symbol	MGI:107656	MP:0002425	altered susceptibility to autoimmune disorder
IFNG	current symbol	MGI:107656	MP:0002451	abnormal macrophage physiology
IFNG	current symbol	MGI:107656	MP:0002455	abnormal dendritic cell antigen presentation
IFNG	current symbol	MGI:107656	MP:0002459	abnormal B cell physiology
IFNG	current symbol	MGI:107656	MP:0002460	decreased immunoglobulin level
IFNG	current symbol	MGI:107656	MP:0002490	abnormal immunoglobulin level
IFNG	current symbol	MGI:107656	MP:0002492	decreased IgE level
IFNG	current symbol	MGI:107656	MP:0002497	increased IgE level
IFNG	current symbol	MGI:107656	MP:0002534	abnormal type IV hypersensitivity reaction
IFNG	current symbol	MGI:107656	MP:0002608	increased hematocrit
IFNG	current symbol	MGI:107656	MP:0002743	glomerulonephritis
IFNG	current symbol	MGI:107656	MP:0002753	dilated heart left ventricle
IFNG	current symbol	MGI:107656	MP:0002757	decreased vertical activity
IFNG	current symbol	MGI:107656	MP:0002795	dilated cardiomyopathy
IFNG	current symbol	MGI:107656	MP:0002871	albuminuria
IFNG	current symbol	MGI:107656	MP:0002875	decreased erythrocyte cell number
IFNG	current symbol	MGI:107656	MP:0002941	increased circulating alanine transaminase level
IFNG	current symbol	MGI:107656	MP:0003009	abnormal cytokine secretion
IFNG	current symbol	MGI:107656	MP:0003131	increased erythrocyte cell number
IFNG	current symbol	MGI:107656	MP:0003179	thrombocytopenia
IFNG	current symbol	MGI:107656	MP:0003186	abnormal redox activity
IFNG	current symbol	MGI:107656	MP:0003257	abnormal abdominal wall morphology
IFNG	current symbol	MGI:107656	MP:0003303	peritoneal inflammation
IFNG	current symbol	MGI:107656	MP:0003333	liver fibrosis
IFNG	current symbol	MGI:107656	MP:0003459	increased fear-related response
IFNG	current symbol	MGI:107656	MP:0003562	abnormal pancreatic beta cell physiology
IFNG	current symbol	MGI:107656	MP:0003643	spleen atrophy
IFNG	current symbol	MGI:107656	MP:0003644	thymus atrophy
IFNG	current symbol	MGI:107656	MP:0003699	abnormal female reproductive system physiology
IFNG	current symbol	MGI:107656	MP:0003726	decreased autoantibody level
IFNG	current symbol	MGI:107656	MP:0003957	abnormal nitric oxide homeostasis
IFNG	current symbol	MGI:107656	MP:0004256	abnormal maternal decidual layer morphology
IFNG	current symbol	MGI:107656	MP:0004733	abnormal thoracic cavity morphology
IFNG	current symbol	MGI:107656	MP:0004752	decreased length of allograft survival
IFNG	current symbol	MGI:107656	MP:0004795	decreased anti-nuclear antigen antibody level
IFNG	current symbol	MGI:107656	MP:0004798	decreased anti-double stranded DNA antibody level
IFNG	current symbol	MGI:107656	MP:0004799	increased susceptibility to experimental autoimmune encephalomyelitis
IFNG	current symbol	MGI:107656	MP:0004804	decreased susceptibility to autoimmune diabetes
IFNG	current symbol	MGI:107656	MP:0004808	abnormal hematopoietic stem cell morphology
IFNG	current symbol	MGI:107656	MP:0004809	increased hematopoietic stem cell number
IFNG	current symbol	MGI:107656	MP:0004924	abnormal behavior
IFNG	current symbol	MGI:107656	MP:0005000	abnormal immune tolerance
IFNG	current symbol	MGI:107656	MP:0005013	increased lymphocyte cell number
IFNG	current symbol	MGI:107656	MP:0005015	increased T cell number
IFNG	current symbol	MGI:107656	MP:0005025	abnormal response to infection
IFNG	current symbol	MGI:107656	MP:0005026	decreased susceptibility to parasitic infection
IFNG	current symbol	MGI:107656	MP:0005027	increased susceptibility to parasitic infection
IFNG	current symbol	MGI:107656	MP:0005040	abnormal MHC II cell surface expression on macrophages
IFNG	current symbol	MGI:107656	MP:0005070	impaired natural killer cell mediated cytotoxicity
IFNG	current symbol	MGI:107656	MP:0005078	abnormal cytotoxic T cell physiology
IFNG	current symbol	MGI:107656	MP:0005140	decreased cardiac muscle contractility
IFNG	current symbol	MGI:107656	MP:0005151	diffuse hepatic necrosis
IFNG	current symbol	MGI:107656	MP:0005152	pancytopenia
IFNG	current symbol	MGI:107656	MP:0005164	abnormal response to injury
IFNG	current symbol	MGI:107656	MP:0005166	decreased susceptibility to injury
IFNG	current symbol	MGI:107656	MP:0005324	ascites
IFNG	current symbol	MGI:107656	MP:0005351	decreased susceptibility to autoimmune disorder
IFNG	current symbol	MGI:107656	MP:0005362	abnormal Langerhans cell physiology
IFNG	current symbol	MGI:107656	MP:0005425	increased macrophage cell number
IFNG	current symbol	MGI:107656	MP:0005501	abnormal skin physiology
IFNG	current symbol	MGI:107656	MP:0005542	corneal vascularization
IFNG	current symbol	MGI:107656	MP:0005608	cardiac interstitial fibrosis
IFNG	current symbol	MGI:107656	MP:0005616	decreased susceptibility to type IV hypersensitivity reaction
IFNG	current symbol	MGI:107656	MP:0005617	increased susceptibility to type IV hypersensitivity reaction
IFNG	current symbol	MGI:107656	MP:0005671	abnormal response to transplant
IFNG	current symbol	MGI:107656	MP:0006042	increased apoptosis
IFNG	current symbol	MGI:107656	MP:0006043	decreased apoptosis
IFNG	current symbol	MGI:107656	MP:0006082	CNS inflammation
IFNG	current symbol	MGI:107656	MP:0006283	increased medulloblastoma incidence
IFNG	current symbol	MGI:107656	MP:0008039	increased NK T cell number
IFNG	current symbol	MGI:107656	MP:0008054	abnormal uterine NK cell morphology
IFNG	current symbol	MGI:107656	MP:0008078	increased CD8-positive, alpha-beta T cell number
IFNG	current symbol	MGI:107656	MP:0008209	decreased pre-B cell number
IFNG	current symbol	MGI:107656	MP:0008211	decreased mature B cell number
IFNG	current symbol	MGI:107656	MP:0008255	decreased megakaryocyte cell number
IFNG	current symbol	MGI:107656	MP:0008466	enlarged mesenteric lymph nodes
IFNG	current symbol	MGI:107656	MP:0008496	decreased IgG2a level
IFNG	current symbol	MGI:107656	MP:0008497	decreased IgG2b level
IFNG	current symbol	MGI:107656	MP:0008498	decreased IgG3 level
IFNG	current symbol	MGI:107656	MP:0008499	increased IgG1 level
IFNG	current symbol	MGI:107656	MP:0008548	abnormal circulating interferon level
IFNG	current symbol	MGI:107656	MP:0008559	abnormal interferon-gamma secretion
IFNG	current symbol	MGI:107656	MP:0008567	decreased interferon-gamma secretion
IFNG	current symbol	MGI:107656	MP:0008596	increased circulating interleukin-6 level
IFNG	current symbol	MGI:107656	MP:0008617	increased circulating interleukin-12 level
IFNG	current symbol	MGI:107656	MP:0008660	increased interleukin-10 secretion
IFNG	current symbol	MGI:107656	MP:0008661	decreased interleukin-10 secretion
IFNG	current symbol	MGI:107656	MP:0008663	increased interleukin-12 secretion
IFNG	current symbol	MGI:107656	MP:0008681	increased interleukin-17 secretion
IFNG	current symbol	MGI:107656	MP:0008687	increased interleukin-2 secretion
IFNG	current symbol	MGI:107656	MP:0008699	increased interleukin-4 secretion
IFNG	current symbol	MGI:107656	MP:0008702	increased interleukin-5 secretion
IFNG	current symbol	MGI:107656	MP:0008713	abnormal cytokine level
IFNG	current symbol	MGI:107656	MP:0008813	decreased common myeloid progenitor cell number
IFNG	current symbol	MGI:107656	MP:0008828	abnormal lymph node cell ratio
IFNG	current symbol	MGI:107656	MP:0008874	decreased physiological sensitivity to xenobiotic
IFNG	current symbol	MGI:107656	MP:0008914	enlarged cerebellum
