,genes_related_count,genes_related,genes_in_pathway,p-value,count in gene set
Fibrin Complement Receptor 3 Signaling Pathway,15,"['tumor necrosis factor', 'toll like receptor 4', 'interleukin 6', 'C-C motif chemokine ligand 2', 'integrin subunit alpha M', 'CD14 molecule', 'plasminogen activator, tissue type', 'spleen associated tyrosine kinase', 'interferon beta 1', 'C-X-C motif chemokine ligand 10', 'MYD88 innate immune signal transduction adaptor', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'interferon regulatory factor 3', 'toll like receptor 3']",43,5.16647834718417e-14,15/43
Photodynamic therapy-induced NF-kB survival signaling,14,"['tumor necrosis factor', 'C-X-C motif chemokine ligand 2', 'vascular endothelial growth factor A', 'matrix metallopeptidase 9', 'REL proto-oncogene, NF-kB subunit', 'interleukin 6', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'C-X-C motif chemokine ligand 8', 'interleukin 2', 'matrix metallopeptidase 2', 'prostaglandin-endoperoxide synthase 2', 'TNF receptor superfamily member 1A', 'interleukin 1 beta']",35,5.837588799533986e-14,14/35
Prolactin Signaling Pathway,18,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'cytokine inducible SH2 containing protein', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'interferon regulatory factor 1', 'suppressor of cytokine signaling 3', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",75,6.99901324331813e-14,18/75
Pancreatic adenocarcinoma pathway,19,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'signal transducer and activator of transcription 3', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'vascular endothelial growth factor A', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'epidermal growth factor', 'transforming growth factor beta 1', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'ras homolog family member A']",89,1.0099464983411173e-13,19/89
Cytokines and Inflammatory Response,13,"['tumor necrosis factor', 'C-X-C motif chemokine ligand 2', 'interleukin 10', 'interleukin 6', 'interleukin 3', 'interleukin 4', 'transforming growth factor beta 1', 'interferon beta 1', 'interleukin 2', 'interferon gamma', 'interleukin 1 beta', 'CD4 molecule', 'interleukin 7']",30,2.1190187130144794e-13,13/30
IL-3 Signaling Pathway,15,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'interleukin 3', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'transforming growth factor beta 1', 'spleen associated tyrosine kinase', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene', 'CD69 molecule']",50,6.956568782360321e-13,15/50
Vitamin B12 Metabolism,16,"['coagulation factor II, thrombin', 'C-C motif chemokine ligand 5', 'tumor necrosis factor', 'superoxide dismutase 1', 'albumin', 'serpin family E member 1', 'interleukin 6', 'C-C motif chemokine ligand 2', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'myeloperoxidase', 'insulin', 'C-reactive protein', 'plasminogen activator, tissue type', 'interferon gamma', 'interleukin 1 beta']",61,8.096555976035902e-13,16/61
Viral Acute Myocarditis,20,"['toll like receptor 5', 'tumor necrosis factor', 'signal transducer and activator of transcription 3', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'matrix metallopeptidase 9', 'CD80 molecule', 'interleukin 10', 'interleukin 6', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'transforming growth factor beta 1', 'cAMP responsive element binding protein 1', 'interferon gamma', 'AKT serine/threonine kinase 1', 'C-C motif chemokine receptor 5', 'C-X-C motif chemokine receptor 4', 'CD4 molecule', 'toll like receptor 3']",118,1.7926712996398877e-12,20/118
Lung fibrosis,16,"['C-C motif chemokine ligand 5', 'tumor necrosis factor', 'C-X-C motif chemokine ligand 2', 'matrix metallopeptidase 9', 'interleukin 6', 'C-C motif chemokine ligand 2', 'interleukin 4', 'TIMP metallopeptidase inhibitor 1', 'C-X-C motif chemokine ligand 8', 'C-C motif chemokine ligand 3', 'fibroblast growth factor 2', 'epidermal growth factor', 'transforming growth factor beta 1', 'matrix metallopeptidase 2', 'C-C motif chemokine receptor 2', 'interleukin 1 beta']",64,1.8701629500092548e-12,16/64
IL-4 Signaling Pathway,14,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'signal transducer and activator of transcription 6', 'RELA proto-oncogene, NF-kB subunit', 'interleukin 4', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'suppressor of cytokine signaling 3', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",52,3.50529848751173e-11,14/52
Selenium Micronutrient Network,17,"['coagulation factor II, thrombin', 'catalase', 'tumor necrosis factor', 'superoxide dismutase 1', 'albumin', 'serpin family E member 1', 'interleukin 6', 'C-C motif chemokine ligand 2', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'myeloperoxidase', 'insulin', 'C-reactive protein', 'plasminogen activator, tissue type', 'prostaglandin-endoperoxide synthase 2', 'interferon gamma', 'interleukin 1 beta']",94,7.940796692121956e-11,17/94
PI3K-Akt Signaling Pathway,29,"['chorionic somatomammotropin hormone 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'vascular endothelial growth factor A', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'interferon alpha and beta receptor subunit 1', 'interleukin 6', 'interleukin 3', 'mechanistic target of rapamycin kinase', 'RELA proto-oncogene, NF-kB subunit', 'interleukin 4', 'insulin', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'spleen associated tyrosine kinase', 'tumor protein p53', 'cAMP responsive element binding protein 1', 'CD19 molecule', 'interferon beta 1', 'interleukin 2', 'interferon alpha 1', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'interleukin 2 receptor subunit alpha', 'interleukin 7']",342,1.0871861969927652e-10,29/342
Interferon type I signaling pathways,14,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'interferon alpha and beta receptor subunit 1', 'REL proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 4', 'CRK proto-oncogene, adaptor protein', 'mechanistic target of rapamycin kinase', 'signal transducer and activator of transcription 1', 'LCK proto-oncogene, Src family tyrosine kinase', 'suppressor of cytokine signaling 3', 'cAMP responsive element binding protein 1', 'protein tyrosine phosphatase receptor type C', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",58,1.8473134321649803e-10,14/58
Senescence and Autophagy in Cancer,18,"['mitogen-activated protein kinase 1', 'CD44 molecule (Indian blood group)', 'serpin family E member 1', 'interleukin 6', 'interleukin 3', 'mechanistic target of rapamycin kinase', 'insulin', 'C-X-C motif chemokine ligand 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'C-C motif chemokine ligand 3', 'plasminogen activator, tissue type', 'interferon regulatory factor 1', 'transforming growth factor beta 1', 'tumor protein p53', 'interferon beta 1', 'cyclin dependent kinase inhibitor 1A', 'interferon gamma', 'interleukin 1 beta']",124,7.591050793958384e-10,18/124
Chemokine signaling pathway,21,"['C-C motif chemokine ligand 5', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'C-C motif chemokine receptor 1', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'C-C motif chemokine receptor 6', 'C-X-C motif chemokine ligand 9', 'CRK proto-oncogene, adaptor protein', 'RELA proto-oncogene, NF-kB subunit', 'signal transducer and activator of transcription 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'C-C motif chemokine ligand 3', 'C-X3-C motif chemokine ligand 1', 'C-C motif chemokine ligand 20', 'C-X-C motif chemokine ligand 10', 'C-C motif chemokine receptor 2', 'AKT serine/threonine kinase 1', 'C-X-C motif chemokine receptor 4', 'G protein-coupled receptor kinase 2']",183,1.00903254094936e-09,21/183
miRNAs involvement in the immune response in sepsis,14,"['tumor necrosis factor', 'toll like receptor 4', 'REL proto-oncogene, NF-kB subunit', 'interleukin 10', 'interleukin 6', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'C-C motif chemokine ligand 3', 'interferon regulatory factor 1', 'MYD88 innate immune signal transduction adaptor', 'toll like receptor 7', 'toll like receptor 8']",68,1.9500565860661326e-09,14/68
Adipogenesis,18,"['tumor necrosis factor', 'signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'LIF interleukin 6 family cytokine', 'Sp1 transcription factor', 'serpin family E member 1', 'signal transducer and activator of transcription 6', 'peroxisome proliferator activated receptor alpha', 'interleukin 6', 'Fas cell surface death receptor', 'signal transducer and activator of transcription 1', 'leptin', 'insulin', 'lipoprotein lipase', 'transforming growth factor beta 1', 'suppressor of cytokine signaling 3', 'cAMP responsive element binding protein 1', 'cyclin dependent kinase inhibitor 1A']",131,1.989496818840113e-09,18/131
Interleukin-11 Signaling Pathway,12,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'RELA proto-oncogene, NF-kB subunit', 'intercellular adhesion molecule 1', 'signal transducer and activator of transcription 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'transforming growth factor beta 1', 'suppressor of cytokine signaling 3', 'cAMP responsive element binding protein 1', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",44,1.9957501662998424e-09,12/44
IL-6 signaling pathway,12,"['signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'interleukin 6', 'TIMP metallopeptidase inhibitor 1', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'C-reactive protein', 'interferon regulatory factor 1', 'suppressor of cytokine signaling 3', 'vasoactive intestinal peptide', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",44,1.9957501662998424e-09,12/44
Hepatitis C and Hepatocellular Carcinoma,13,"['signal transducer and activator of transcription 3', 'CD44 molecule (Indian blood group)', 'vascular endothelial growth factor A', 'interleukin 6', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'mitogen-activated protein kinase 3', 'transforming growth factor beta 1', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'prostaglandin-endoperoxide synthase 2', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",57,2.962780076564646e-09,13/57
IL-5 Signaling Pathway,11,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'signal transducer and activator of transcription 1', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'spleen associated tyrosine kinase', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interleukin 2', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11']",37,5.778643027281753e-09,11/37
MicroRNAs in cardiomyocyte hypertrophy,16,"['tumor necrosis factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'signal transducer and activator of transcription 3', 'LIF interleukin 6 family cytokine', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'cytokine inducible SH2 containing protein', 'mechanistic target of rapamycin kinase', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'fibroblast growth factor 2', 'epidermal growth factor', 'transforming growth factor beta 1', 'AKT serine/threonine kinase 1', 'ras homolog family member A']",106,7.837492211809274e-09,16/106
ErbB Signaling Pathway,15,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'signal transducer and activator of transcription 5A', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'CRK proto-oncogene, adaptor protein', 'mechanistic target of rapamycin kinase', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'epidermal growth factor', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1', 'Cbl proto-oncogene']",91,9.53157160946734e-09,15/91
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway,11,"['C-C motif chemokine ligand 5', 'tumor necrosis factor', 'mitogen-activated protein kinase 1', 'matrix metallopeptidase 9', 'interleukin 6', 'C-C motif chemokine ligand 2', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'AKT serine/threonine kinase 1']",39,1.1013796959834849e-08,11/39
Endometrial cancer,13,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'tumor protein p53', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1']",63,1.1642411821805005e-08,13/63
Type II interferon signaling (IFNG),11,"['regenerating family member 1 alpha', 'C-X-C motif chemokine ligand 9', 'intercellular adhesion molecule 1', 'signal transducer and activator of transcription 1', 'interferon regulatory factor 1', 'suppressor of cytokine signaling 3', 'interferon beta 1', 'C-X-C motif chemokine ligand 10', 'interferon gamma', 'interleukin 1 beta', 'protein tyrosine phosphatase non-receptor type 11']",41,2.0185835720921573e-08,11/41
Corticotropin-releasing hormone signaling pathway,15,"['proopiomelanocortin', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'Sp1 transcription factor', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'C-X-C motif chemokine ligand 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'transforming growth factor beta 1', 'cAMP responsive element binding protein 1', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'interleukin 2', 'AKT serine/threonine kinase 1', 'ras homolog family member A']",96,2.119659870068179e-08,15/96
Kit receptor signaling pathway,12,"['signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'mitogen-activated protein kinase 1', 'CRK proto-oncogene, adaptor protein', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",53,2.2241231973317898e-08,12/53
B Cell Receptor Signaling Pathway,15,"['mitogen-activated protein kinase 1', 'REL proto-oncogene, NF-kB subunit', 'CRK proto-oncogene, adaptor protein', 'RELA proto-oncogene, NF-kB subunit', 'mitogen-activated protein kinase 8', 'Raf-1 proto-oncogene, serine/threonine kinase', 'LCK proto-oncogene, Src family tyrosine kinase', 'CD79a molecule', 'spleen associated tyrosine kinase', 'cAMP responsive element binding protein 1', 'CD19 molecule', 'protein tyrosine phosphatase receptor type C', 'AKT serine/threonine kinase 1', 'protein tyrosine phosphatase non-receptor type 11', 'Cbl proto-oncogene']",98,2.8785177667953473e-08,15/98
Breast cancer pathway,18,"['estrogen receptor 1', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'notch receptor 1', 'Sp1 transcription factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'ATM serine/threonine kinase', 'mechanistic target of rapamycin kinase', 'TNF superfamily member 11', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'fibroblast growth factor 2', 'epidermal growth factor', 'tumor protein p53', 'Fos proto-oncogene, AP-1 transcription factor subunit', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1']",154,3.2093557236569186e-08,18/154
IL1 and megakaryocytes in obesity,9,"['coagulation factor II, thrombin', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'matrix metallopeptidase 9', 'C-C motif chemokine ligand 2', 'intercellular adhesion molecule 1', 'TIMP metallopeptidase inhibitor 1', 'MYD88 innate immune signal transduction adaptor', 'interferon gamma', 'interleukin 1 beta']",24,4.361817504525369e-08,9/24
Nonalcoholic fatty liver disease,18,"['tumor necrosis factor', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'BCL2 associated X, apoptosis regulator', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'peroxisome proliferator activated receptor alpha', 'interleukin 6', 'C-C motif chemokine ligand 2', 'Fas cell surface death receptor', 'RELA proto-oncogene, NF-kB subunit', 'leptin', 'mitogen-activated protein kinase 8', 'insulin', 'C-X-C motif chemokine ligand 8', 'transforming growth factor beta 1', 'suppressor of cytokine signaling 3', 'TNF receptor superfamily member 1A', 'AKT serine/threonine kinase 1', 'interleukin 1 beta']",159,5.502101857438142e-08,18/159
Non-small cell lung cancer,13,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'signal transducer and activator of transcription 5A', 'signal transducer and activator of transcription 3', 'BCL2 associated X, apoptosis regulator', 'mitogen-activated protein kinase 1', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'Raf-1 proto-oncogene, serine/threonine kinase', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'epidermal growth factor', 'tumor protein p53', 'cyclin dependent kinase inhibitor 1A', 'AKT serine/threonine kinase 1']",72,6.947614520668945e-08,13/72
Ebola Virus Pathway on Host,17,"['phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta', 'cathepsin L', 'major histocompatibility complex, class I, E', 'mitogen-activated protein kinase 1', 'toll like receptor 4', 'phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha', 'REL proto-oncogene, NF-kB subunit', 'RELA proto-oncogene, NF-kB subunit', 'interleukin 4', 'signal transducer and activator of transcription 1', 'mitogen-activated protein kinase 3', 'epidermal growth factor receptor', 'ADAM metallopeptidase domain 17', 'suppressor of cytokine signaling 3', 'AKT serine/threonine kinase 1', 'ras homolog family member A', 'interferon regulatory factor 3']",147,1.3490098881423007e-07,17/147
