Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	MP ID	Term
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003674	oxidative stress
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003819	increased left ventricle diastolic pressure
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003828	pulmonary edema
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0003953	abnormal hormone level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0004013	decreased pulmonary artery pressure
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005036	diarrhea
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005140	decreased cardiac muscle contractility
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005165	increased susceptibility to injury
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005333	decreased heart rate
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005542	corneal vascularization
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005573	increased pulmonary respiratory rate
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005584	abnormal enzyme/coenzyme activity
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005598	decreased ventricle muscle contractility
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005608	cardiac interstitial fibrosis
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0005630	increased lung weight
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0006000	abnormal corneal epithelium morphology
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0006138	congestive heart failure
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0006144	increased systemic arterial systolic blood pressure
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0006373	abnormal circulating angiotensinogen level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0006375	increased circulating angiotensinogen level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0008022	dilated heart ventricle
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0008537	increased susceptibility to induced colitis
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0008577	increased circulating interferon-gamma level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0008629	increased circulating interleukin-9 level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0008713	abnormal cytokine level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0009763	increased sensitivity to induced morbidity/mortality
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0009788	increased susceptibility to bacterial infection induced morbidity/mortality
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0010018	pulmonary vascular congestion
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0010180	increased susceptibility to weight loss
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0010210	abnormal circulating cytokine level
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0011044	increased lung elastance
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0011925	abnormal heart echocardiography feature
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0012041	increased susceptibility to pulmonary hyaline membrane formation
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0013956	decreased colon length
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0020344	abnormal susceptibility to injury induced morbidity/mortality
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0020446	increased NAD(P)H oxidase activity
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0020861	abnormal corneal wound healing
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0020946	increased susceptibility to Orthomyxoviridae infection
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0020949	increased susceptibility to Coronaviridae infection
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0020950	decreased susceptibility to Coronaviridae infection
ACE2	current symbol	MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	protein coding gene	MP:0031046	increased susceptibility to Orthomyxoviridae infection induced morbidity/mortality
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0001861	lung inflammation
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0002169	no abnormal phenotype detected
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0003009	abnormal cytokine secretion
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0003608	prostate gland inflammation
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0004738	abnormal auditory brainstem response
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0005291	abnormal glucose tolerance
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0011385	abnormal testosterone level
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0013277	abnormal fasting circulating glucose level
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0013279	increased fasting circulating glucose level
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0020947	decreased susceptibility to Orthomyxoviridae infection
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0020950	decreased susceptibility to Coronaviridae infection
TMPRSS2	current symbol	MGI:1354381	Tmprss2	transmembrane protease, serine 2	protein coding gene	MP:0031045	decreased susceptibility to Orthomyxoviridae infection induced morbidity/mortality
CRP	synonym	MGI:1915587	Crip2	cysteine rich protein 2	protein coding gene	MP:0002734	abnormal mechanical nociception
CRP	synonym	MGI:1915587	Crip2	cysteine rich protein 2	protein coding gene	MP:0002736	abnormal nociception after inflammation
CRP	current symbol	MGI:88512	Crp	C-reactive protein, pentraxin-related	protein coding gene	MP:0031060	decreased circulating C-reactive protein level
CRP	human synonym	MGI:88549	Csrp1	cysteine and glycine-rich protein 1	protein coding gene	MP:0004883	abnormal vascular wound healing
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0000255	vasculature congestion
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0000267	abnormal heart development
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0000279	ventricular hypoplasia
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0000746	weakness
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001177	atelectasis
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001262	decreased body weight
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001265	decreased body size
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001406	abnormal gait
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001454	abnormal cued conditioning behavior
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001516	abnormal motor coordination/balance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0001953	respiratory failure
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002062	abnormal associative learning
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002063	abnormal learning/memory/conditioning
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002090	abnormal vision
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002169	no abnormal phenotype detected
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002316	anoxia
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002798	abnormal active avoidance behavior
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0002805	abnormal conditioned taste aversion behavior
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0003105	abnormal heart atrium morphology
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0003140	dilated heart atrium
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0003897	abnormal ST segment
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0003962	abnormal adrenaline level
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0003964	abnormal noradrenaline level
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0005156	bradykinesia
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0005253	abnormal eye physiology
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0005333	decreased heart rate
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0005551	abnormal eye electrophysiology
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0005643	decreased dopamine level
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0008788	abnormal fetal cardiomyocyte morphology
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0010017	visceral vascular congestion
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0010019	liver vascular congestion
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0010021	heart vascular congestion
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0010069	increased serotonin level
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0011085	postnatal lethality, complete penetrance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0011087	neonatal lethality, complete penetrance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0011090	perinatal lethality, incomplete penetrance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0011091	prenatal lethality, complete penetrance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
TH	current symbol	MGI:98735	Th	tyrosine hydroxylase	protein coding gene	MP:0012574	decreased noradrenaline level
TH	old symbol	MGI:98740	thd	tilted head	heritable phenotypic marker	MP:0001504	abnormal posture
TH	old symbol	MGI:98740	thd	tilted head	heritable phenotypic marker	MP:0001522	impaired swimming
TH	old symbol	MGI:98740	thd	tilted head	heritable phenotypic marker	MP:0002066	abnormal motor capabilities/coordination/movement
TH	old symbol	MGI:98740	thd	tilted head	heritable phenotypic marker	MP:0002894	abnormal otolith morphology
TH	old symbol	MGI:98740	thd	tilted head	heritable phenotypic marker	MP:0002978	absent otoliths
TH	old symbol	MGI:98740	thd	tilted head	heritable phenotypic marker	MP:0005191	head tilt
SON	current symbol	MGI:98353	Son	Son DNA binding protein	protein coding gene	
MARS1	current symbol	MGI:1345633	Mars1	methionine-tRNA synthetase 1	protein coding gene	
POR	rat synonym	MGI:1924182	Arfip2	ADP-ribosylation factor interacting protein 2	protein coding gene	MP:0004122	abnormal sinus arrhythmia
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000296	absent trabeculae carneae
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000592	short tail
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000598	abnormal liver morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000599	enlarged liver
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000603	pale liver
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000914	exencephaly
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0000928	incomplete rostral neuropore closure
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001262	decreased body weight
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001654	hepatic necrosis
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001672	abnormal embryo development
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001787	pericardial edema
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001915	intracranial hemorrhage
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001921	reduced fertility
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001923	reduced female fertility
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001926	female infertility
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0001935	decreased litter size
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002085	abnormal embryonic tissue morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002092	abnormal eye morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002628	hepatic steatosis
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002644	decreased circulating triglyceride level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002781	increased circulating testosterone level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002834	decreased heart weight
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002884	abnormal pharyngeal arch morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002941	increased circulating alanine transaminase level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0002981	increased liver weight
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0003566	abnormal cell adhesion
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0003918	decreased kidney weight
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0003935	abnormal craniofacial development
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0003984	embryonic growth retardation
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0004774	abnormal bile salt level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0004838	abnormal neural fold elevation formation
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005179	decreased circulating cholesterol level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005185	decreased circulating progesterone level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005186	increased circulating progesterone level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005294	abnormal heart ventricle morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005319	abnormal enzyme/coenzyme level
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005329	abnormal myocardium layer morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005584	abnormal enzyme/coenzyme activity
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0005631	decreased lung weight
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0006042	increased apoptosis
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0006126	abnormal cardiac outflow tract development
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0008875	abnormal xenobiotic pharmacokinetics
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0009746	enhanced behavioral response to xenobiotic
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0009779	enhanced behavioral response to anesthetic
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0011086	postnatal lethality, incomplete penetrance
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0011098	embryonic lethality during organogenesis, complete penetrance
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0011101	prenatal lethality, incomplete penetrance
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0011110	preweaning lethality, incomplete penetrance
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0012501	abnormal pericardial cavity morphology
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0012531	delayed limb development
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0012691	abnormal acetaminophen metabolism
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0031115	macrovesicular hepatic steatosis
POR	current symbol	MGI:97744	Por	P450 (cytochrome) oxidoreductase	protein coding gene	MP:0031116	microvesicular hepatic steatosis
POR	human synonym	MGI:106915	Vdac2	voltage-dependent anion channel 2	protein coding gene	MP:0000706	small thymus
POR	human synonym	MGI:106915	Vdac2	voltage-dependent anion channel 2	protein coding gene	MP:0000715	decreased thymocyte number
POR	human synonym	MGI:106915	Vdac2	voltage-dependent anion channel 2	protein coding gene	MP:0009258	abnormal thymocyte apoptosis
ABO	current symbol	MGI:2135738	Abo	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)	protein coding gene	
ABO	zebrafish symbol	MGI:2449143	Gbgt1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	protein coding gene	MP:0001146	abnormal testis morphology
ABO	zebrafish symbol	MGI:2449143	Gbgt1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	protein coding gene	MP:0001147	small testis
ABO	zebrafish symbol	MGI:2449143	Gbgt1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	protein coding gene	MP:0002631	abnormal epididymis morphology
ABO	zebrafish symbol	MGI:2449143	Gbgt1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	protein coding gene	MP:0004931	enlarged epididymis
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0000008	increased white adipose tissue amount
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0001260	increased body weight
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0001261	obese
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0001326	retinal degeneration
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0003729	abnormal photoreceptor outer segment morphology
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0008444	retinal cone cell degeneration
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0008450	retinal photoreceptor degeneration
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0008451	retinal rod cell degeneration
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0008535	enlarged lateral ventricles
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0008586	disorganized photoreceptor outer segment
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0008587	short photoreceptor outer segment
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0010934	increased subcutaneous adipose tissue amount
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0011380	enlarged brain ventricles
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0012143	decreased a wave amplitude
LZTFL1	current symbol	MGI:1934860	Lztfl1	leucine zipper transcription factor-like 1	protein coding gene	MP:0012144	decreased b wave amplitude
CD4	current symbol	MGI:88335	Cd4	CD4 antigen	protein coding gene	MP:0000689	abnormal spleen morphology
CD4	current symbol	MGI:88335	Cd4	CD4 antigen	protein coding gene	MP:0000921	demyelination
